IDlwd,stream,txlwd,dlwd,llwd,wetlwd
lwd0580,Bagleytrail,2,20,1,0
lwd0581,Bagleytrail,21,15,1,1
lwd0582,Bagleytrail,27,10,1,1
lwd0584,Bagleytrail,39,10,1,0
lwd0585,Bagleytrail,40,10,2,0
lwd0586,Bagleytrail,41,10,1,0
lwd0583,Bagleytrail,42,15,1,0
lwd0587,Bagleytrail,47,30,2,0
lwd0588,Bagleytrail,55,20,6,0
lwd0589,Bagleytrail,58,10,2,0
lwd0590,Bagleytrail,59,15,4,0
lwd0591,Bagleytrail,59,15,1,0
lwd0592,Bagleytrail,60,10,1,0
lwd0593,Bagleytrail,60,15,1,1
lwd0594,Bagleytrail,60,10,2,0
lwd0595,Bagleytrail,60,20,2,0
lwd0597,Bagleytrail,64,15,1,0
lwd0596,Bagleytrail,66,15,4,0
lwd0598,Bagleytrail,81,15,3,0
lwd0599,Bagleytrail,132,20,1,0
lwd0600,Bagleytrail,133,25,1,0
lwd0601,Bagleytrail,133,35,2,0
lwd0602,Bagleytrail,133,25,2,0
lwd0603,Bagleytrail,142,10,1,0
lwd0604,Bagleytrail,157,30,2,0
lwd0605,Bagleytrail,166,15,2,0
lwd0606,Bagleytrail,171,15,2,0
lwd0607,Bagleytrail,174,20,2,1
lwd0608,Bagleytrail,174,25,1,1
lwd0609,Bagleytrail,196,10,1,0
lwd0610,Bagleytrail,196,15,1,0
lwd0611,Bagleytrail,196,10,2,0
lwd0612,Bagleytrail,196,10,1,0
lwd0613,Bagleytrail,196,20,1,1
lwd0614,Bagleytrail,206,10,1,0
lwd0615,Bagleytrail,209,15,2,1
lwd0617,Bagleytrail,209,15,3,0
lwd0616,Bagleytrail,210,25,2,1
lwd0618,Bagleytrail,216,25,2,0
lwd0619,Bagleytrail,225,30,1,0
lwd0620,Bagleytrail,234,25,1,0
lwd0621,Bagleytrail,237,15,2,1
lwd0622,Bagleytrail,245,20,5,1
lwd0623,Bagleytrail,267,20,1,0
lwd0624,Bagleytrail,267,15,1,0
lwd0625,Bagleytrail,267,10,1,1
lwd0626,Bagleytrail,272,25,1,0
lwd0627,Bagleytrail,285,10,1,0
lwd0628,Bagleytrail,298,15,2,0
