IDlwd,stream,txlwd,dlwd,llwd,wetlwd
lwd0270,Crazy,3,10,4,1
lwd0271,Crazy,3,15,1,0
lwd0272,Crazy,15,15,3,0
lwd0273,Crazy,18,10,2,0
lwd0276,Crazy,25,10,1,1
lwd0274,Crazy,27,25,4,1
lwd0275,Crazy,28,15,3,1
lwd0277,Crazy,28,25,2,1
lwd0278,Crazy,35,10,1,0
lwd0279,Crazy,36,10,4,0
lwd0280,Crazy,39,10,1,0
lwd0281,Crazy,56,20,3,1
lwd0282,Crazy,57,20,1,1
lwd0283,Crazy,66,10,1,0
lwd0284,Crazy,75,10,2,0
lwd0285,Crazy,82,10,1,0
lwd0286,Crazy,89,40,2,0
lwd0287,Crazy,89,20,1,0
lwd0288,Crazy,91,10,1,0
lwd0289,Crazy,101,10,1,0
lwd0290,Crazy,103,15,3,1
lwd0291,Crazy,116,15,2,0
lwd0292,Crazy,117,15,2,0
lwd0293,Crazy,119,10,1,1
lwd0294,Crazy,126,10,2,0
lwd0295,Crazy,133,10,2,0
lwd0296,Crazy,133,10,1,0
lwd0297,Crazy,133,20,1,0
lwd0298,Crazy,136,20,1,0
lwd0299,Crazy,143,10,2,1
lwd0300,Crazy,157,10,3,0
lwd0301,Crazy,161,15,1,0
lwd0302,Crazy,176,15,2,0
lwd0303,Crazy,179,15,2,0
lwd0304,Crazy,217,20,3,0
lwd0305,Crazy,221,25,2,0
lwd0306,Crazy,224,10,1,0
lwd0307,Crazy,225,10,3,1
lwd0308,Crazy,225,10,1,0
lwd0309,Crazy,236,10,3,0
lwd0310,Crazy,259,15,1,0
lwd0312,Crazy,262,10,2,0
lwd0311,Crazy,263,35,1,0
lwd0313,Crazy,263,35,3,1
lwd0314,Crazy,264,15,2,0
lwd0315,Crazy,264,15,2,1
lwd0316,Crazy,264,15,2,1
lwd0317,Crazy,289,10,2,1
lwd0318,Crazy,290,15,1,1
lwd0319,Crazy,298,10,1,0
lwd0320,Crazy,300,20,1,1
