IDlwd,stream,txlwd,dlwd,llwd,wetlwd
lwd0183,Cushman,6,20,2,1
lwd0184,Cushman,10,10,1,1
lwd0185,Cushman,12,25,1,1
lwd0186,Cushman,17,15,1,1
lwd0187,Cushman,27,10,2,0
lwd0188,Cushman,29,10,2,0
lwd0189,Cushman,29,20,3,0
lwd0190,Cushman,29,45,2,0
lwd0191,Cushman,30,35,4,1
lwd0192,Cushman,33,10,1,0
lwd0193,Cushman,34,15,1,0
lwd0194,Cushman,34,30,5,0
lwd0195,Cushman,37,15,1,0
lwd0196,Cushman,41,15,2,1
lwd0197,Cushman,41,15,1,1
lwd0198,Cushman,43,10,5,1
lwd0199,Cushman,45,10,1,1
lwd0200,Cushman,57,10,1,0
lwd0201,Cushman,57,10,1,1
lwd0204,Cushman,60,10,1,0
lwd0202,Cushman,61,15,2,1
lwd0203,Cushman,62,15,2,1
lwd0205,Cushman,68,20,1,0
lwd0206,Cushman,79,10,3,0
lwd0207,Cushman,81,15,2,0
lwd0208,Cushman,81,15,1,0
lwd0209,Cushman,81,10,1,0
lwd0210,Cushman,88,30,2,0
lwd0211,Cushman,92,15,1,0
lwd0212,Cushman,94,15,1,0
lwd0213,Cushman,98,10,1,0
lwd0214,Cushman,98,10,1,0
lwd0215,Cushman,99,20,2,0
lwd0216,Cushman,100,20,2,1
lwd0217,Cushman,100,10,1,0
lwd0218,Cushman,104,25,5,0
lwd0219,Cushman,106,20,1,1
lwd0220,Cushman,108,30,1,0
lwd0221,Cushman,115,20,5,0
lwd0222,Cushman,117,25,3,0
lwd0223,Cushman,119,10,1,0
lwd0224,Cushman,123,35,3,0
lwd0225,Cushman,125,30,1,0
lwd0227,Cushman,125,15,7,0
lwd0228,Cushman,128,10,2,0
lwd0226,Cushman,130,85,7,0
lwd0229,Cushman,130,10,2,0
lwd0230,Cushman,136,20,2,0
lwd0231,Cushman,137,25,5,0
lwd0232,Cushman,138,15,5,0
lwd0233,Cushman,142,30,1,0
lwd0235,Cushman,158,15,2,0
lwd0236,Cushman,158,15,1,0
lwd0234,Cushman,159,20,2,0
lwd0237,Cushman,162,20,1,0
lwd0238,Cushman,174,20,2,0
lwd0239,Cushman,175,15,1,0
lwd0240,Cushman,177,10,2,0
lwd0241,Cushman,177,10,2,0
lwd0242,Cushman,177,30,4,1
lwd0243,Cushman,202,10,4,0
lwd0244,Cushman,205,25,10,0
lwd0245,Cushman,206,20,3,0
lwd0246,Cushman,209,15,1,0
lwd0247,Cushman,217,25,1,0
lwd0248,Cushman,217,10,1,0
lwd0249,Cushman,219,10,1,1
lwd0250,Cushman,228,10,1,0
lwd0251,Cushman,228,10,1,0
lwd0252,Cushman,235,40,4,1
lwd0253,Cushman,236,10,1,0
lwd0255,Cushman,236,25,1,0
lwd0254,Cushman,237,40,3,0
lwd0256,Cushman,239,15,1,0
lwd0257,Cushman,242,10,1,1
lwd0258,Cushman,243,15,1,0
lwd0260,Cushman,245,15,2,1
lwd0259,Cushman,246,20,4,1
lwd0261,Cushman,267,15,2,0
lwd0262,Cushman,269,10,2,0
lwd0263,Cushman,271,25,2,0
lwd0264,Cushman,272,10,1,0
lwd0265,Cushman,275,30,6,0
lwd0266,Cushman,276,10,1,0
lwd0267,Cushman,280,30,10,1
lwd0268,Cushman,282,10,1,0
lwd0269,Cushman,299,25,3,0
