IDlwd,stream,txlwd,dlwd,llwd,wetlwd
lwd0692,Falls,4,20,2,0
lwd0693,Falls,13,15,1,0
lwd0694,Falls,16,10,2,0
lwd0695,Falls,16,10,2,0
lwd0696,Falls,28,10,2,1
lwd0697,Falls,36,10,1,0
lwd0698,Falls,52,10,3,0
lwd0699,Falls,52,25,2,1
lwd0700,Falls,65,10,2,0
lwd0701,Falls,70,15,1,0
lwd0702,Falls,89,35,4,0
lwd0703,Falls,97,20,2,0
lwd0704,Falls,104,10,5,0
lwd0705,Falls,104,25,3,0
lwd0706,Falls,110,10,5,0
lwd0707,Falls,115,10,2,0
lwd0708,Falls,120,15,2,0
lwd0709,Falls,120,15,4,1
lwd0710,Falls,120,15,2,0
lwd0711,Falls,120,10,3,1
lwd0714,Falls,120,10,1,0
lwd0712,Falls,121,10,2,1
lwd0713,Falls,121,10,4,1
lwd0715,Falls,121,10,2,0
lwd0716,Falls,122,35,2,0
lwd0717,Falls,127,15,1,0
lwd0718,Falls,140,10,1,0
lwd0719,Falls,153,15,4,0
lwd0720,Falls,158,15,2,0
lwd0721,Falls,166,15,5,0
lwd0722,Falls,173,20,1,0
lwd0723,Falls,173,20,2,0
lwd0724,Falls,173,15,1,0
lwd0725,Falls,187,10,2,0
lwd0726,Falls,188,30,1,0
lwd0727,Falls,200,10,1,1
lwd0728,Falls,200,20,1,0
lwd0729,Falls,201,15,1,0
lwd0730,Falls,217,10,1,0
lwd0731,Falls,222,10,2,0
lwd0732,Falls,222,10,1,0
lwd0733,Falls,224,10,2,0
lwd0734,Falls,226,15,5,1
lwd0735,Falls,226,10,2,0
lwd0736,Falls,226,15,2,0
lwd0737,Falls,226,20,2,0
lwd0738,Falls,227,10,1,0
lwd0739,Falls,230,25,3,0
lwd0740,Falls,235,20,1,0
lwd0741,Falls,237,10,2,1
lwd0742,Falls,239,35,6,0
lwd0743,Falls,239,25,2,1
lwd0744,Falls,239,25,5,0
lwd0747,Falls,239,10,2,0
lwd0748,Falls,239,15,1,0
lwd0745,Falls,240,35,10,0
lwd0746,Falls,240,15,2,0
lwd0749,Falls,240,15,1,0
lwd0752,Falls,240,10,3,0
lwd0750,Falls,241,15,2,0
lwd0751,Falls,241,20,2,0
lwd0753,Falls,241,15,2,0
lwd0754,Falls,241,10,2,1
lwd0756,Falls,241,10,1,0
lwd0757,Falls,241,10,1,0
lwd0755,Falls,242,15,2,0
lwd0758,Falls,273,15,5,1
lwd0759,Falls,276,10,2,0
lwd0760,Falls,283,10,1,0
lwd0761,Falls,289,15,1,0
lwd0762,Falls,292,20,1,1
lwd0763,Falls,292,10,2,0
lwd0764,Falls,300,30,2,0
lwd0765,Falls,300,15,2,0
lwd0766,Falls,300,10,2,0
lwd0767,Falls,300,15,1,0
lwd0768,Falls,300,10,1,0
