IDlwd,stream,txlwd,dlwd,llwd,wetlwd
lwd0049,Kineo1,4,15,3,0
lwd0050,Kineo1,21,15,2,1
lwd0051,Kineo1,36,10,1,0
lwd0052,Kineo1,38,15,1,1
lwd0053,Kineo1,43,20,2,0
lwd0054,Kineo1,50,20,3,0
lwd0055,Kineo1,61,30,2,0
lwd0056,Kineo1,65,15,2,1
lwd0057,Kineo1,65,20,2,0
lwd0058,Kineo1,72,30,1,1
lwd0059,Kineo1,84,15,2,0
lwd0060,Kineo1,87,25,2,1
lwd0061,Kineo1,87,15,1,0
lwd0062,Kineo1,88,15,1,0
lwd0136,Kineo1,88,15,1,1
lwd0063,Kineo1,90,20,2,0
lwd0064,Kineo1,90,30,2,0
lwd0065,Kineo1,90,25,1,0
lwd0066,Kineo1,90,30,1,0
lwd0067,Kineo1,93,15,3,1
lwd0068,Kineo1,97,10,2,1
lwd0069,Kineo1,98,15,2,1
lwd0070,Kineo1,102,35,2,1
lwd0071,Kineo1,105,20,2,0
lwd0072,Kineo1,105,30,2,0
lwd0137,Kineo1,105,20,1,0
lwd0073,Kineo1,110,20,1,0
lwd0074,Kineo1,111,15,3,0
lwd0075,Kineo1,113,25,1,1
lwd0076,Kineo1,124,15,2,0
lwd0077,Kineo1,126,30,4,0
lwd0078,Kineo1,127,20,1,0
lwd0079,Kineo1,133,25,1,0
lwd0081,Kineo1,133,15,1,0
lwd0080,Kineo1,134,40,3,1
lwd0082,Kineo1,135,40,2,1
lwd0083,Kineo1,150,35,7,1
lwd0084,Kineo1,150,10,1,0
lwd0085,Kineo1,158,25,7,1
lwd0086,Kineo1,158,25,5,0
lwd0087,Kineo1,159,30,2,1
lwd0088,Kineo1,160,15,1,1
lwd0089,Kineo1,160,15,1,1
lwd0090,Kineo1,161,50,3,1
lwd0091,Kineo1,164,10,1,1
lwd0092,Kineo1,167,40,1,1
lwd0093,Kineo1,167,25,4,1
lwd0094,Kineo1,170,10,1,0
lwd0095,Kineo1,172,20,3,1
lwd0096,Kineo1,175,30,1,0
lwd0097,Kineo1,180,15,1,1
lwd0098,Kineo1,182,10,1,na
lwd0099,Kineo1,185,35,2,0
lwd0100,Kineo1,189,25,2,0
lwd0101,Kineo1,194,10,2,0
lwd0102,Kineo1,198,20,6,0
lwd0103,Kineo1,200,40,3,0
lwd0104,Kineo1,200,10,1,0
lwd0105,Kineo1,203,20,4,0
lwd0106,Kineo1,203,30,1,0
lwd0107,Kineo1,204,10,1,0
lwd0108,Kineo1,215,25,3,1
lwd0109,Kineo1,218,30,1,1
lwd0112,Kineo1,221,10,1,0
lwd0110,Kineo1,222,20,2,0
lwd0111,Kineo1,222,25,5,1
lwd0113,Kineo1,222,10,1,0
lwd0114,Kineo1,226,15,1,1
lwd0115,Kineo1,230,20,2,na
lwd0116,Kineo1,231,20,2,0
lwd0117,Kineo1,233,20,2,0
lwd0118,Kineo1,233,15,2,0
lwd0119,Kineo1,235,20,1,0
lwd0120,Kineo1,237,25,1,1
lwd0121,Kineo1,238,45,2,1
lwd0122,Kineo1,244,15,1,na
lwd0123,Kineo1,256,10,3,1
lwd0124,Kineo1,259,50,2,0
lwd0125,Kineo1,261,15,1,0
lwd0126,Kineo1,262,20,2,0
lwd0127,Kineo1,263,20,2,0
lwd0128,Kineo1,271,10,1,0
lwd0129,Kineo1,277,10,1,0
lwd0130,Kineo1,277,30,1,na
lwd0131,Kineo1,287,35,2,1
lwd0132,Kineo1,295,45,2,0
lwd0133,Kineo1,296,30,5,1
lwd0134,Kineo1,298,10,1,1
lwd0135,Kineo1,298,15,5,0
